id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1289168_Treat	0	0	0.0118525764634211	0.401839473124414	0	0	0	0	0.0343709188027434	0	0.0555220710554035	0.0347299377071448	0.102348737150793	0	0.0521105044544032	0.04431027813037	0	0.00543631880561616	0	0.257479184305691	0	0
GSM1289169_Treat	0	0.0186209987860896	0.0849704064091066	0	0.0107567944227753	0.160110101739282	0.0664641987375779	0	0	0	0	0.0391147618309775	0.0339011704720843	0.0192756814831932	0.124791175966439	0	0	0.0141766723134838	0	0.340801624373786	0	0.0870164134652049
GSM1289170_Treat	0	0.0156787312764222	0.12203766381782	0.0635083295627656	0	0.204036282226758	0	0	0.0228530049534139	0	0	0.0134002103676352	0.0339000140308171	0.0594896657875061	0	0.00248202859701539	0	0.0160176613953957	0	0.44659640798445	0	0
GSM1289171_Treat	0	0.00874659200275932	0.0842476936275557	0.00219921189450008	0.096829143449793	0.0401077355349148	0	0	0.0161472383652308	0	0	0.0473558703952101	0.0055082220026694	0.102430110369255	0	0.02532700898495	0	0.0579023582148036	0	0.357540113755133	0	0.155658701403225
GSM1289172_Treat	0.0244970499672368	0.0719755288064015	0.132859409601716	0.0713833097277952	0.0956445391911539	0.0818631310240973	0	0	0.0468115370971003	0	0.0205869782308482	0.01681588738786	0.0819869366921627	0.0308078568008637	0.0360547247173377	0.0515494276434554	0	0.00340884218121304	0	0.233754840930758	0	0
GSM1289173_Treat	0	0.051731264557149	0.0769718293306359	0.0502903091975674	0.0600347641552296	0.152466920003423	0.080342740785946	0	0	0	0	0.056518295710928	0.0424339182656355	0.0154210077494146	0.0577624744328403	0.0347188008791949	0	0.0255646573868123	0	0.276669018472724	0	0.0190739990725002
GSM1289174_Treat	0.050240818620227	0.0902300726563493	0.157254854441007	0.00151220997029529	0.0134096859705693	0.235997137605368	0.019915940864901	0	0.0166059628705295	0	0.028057052982013	0	0	0.0617546319869336	0	0.0600246483497235	0	0.0508625340162695	0	0.212809360295765	0	0.00132508937004833
GSM1289175_Treat	0.0214793599984238	0.0653026123561752	0.104941826534978	0.0750153469270998	0.0540040821422523	0.0799975312798469	0	0	0.0419397212487317	0	0.00571251155516584	0	0.0198373505683955	0.0556889072462997	0.0356825355566321	0.0274767936154228	0	0.0314209858989384	0	0.35483022055919	0	0.0266702145124486
GSM1289176_Treat	0.0255925932959176	0.0335408352652732	0.15561910242328	0.11476143904656	0.0137392680048512	0.0939632352722484	0.0107420233115702	0	0.00869782564597037	0	0.0387168997769348	0	0.0359759663386714	0.193255010005085	0.00843250535918245	0.0808110793159659	0	0.0421674976089962	0	0.143984719329493	0	0
GSM1289177_Treat	0.0137143363612278	0.0553564832367966	0.0340833265145156	0.111196185801359	0	0.213570078011901	0.0254338031542934	0	0.0202121388959717	0	0.0923272085568474	0	0.0227584809765646	0.0785284984278869	0.03357255738942	0	0	0.0400568746959997	0	0.251117015991478	0	0.00807301198573921
GSM1289178_Treat	0.0923856263921419	0.102053978497713	0	0.143682345839476	0.022672189004378	0.0866835613927363	0.0243952098229238	0.0174544821995753	0.0124239561404035	0	0.0388465284744518	0	0	0.129080768191088	0.0377742730546954	0	0	0.0623081244861386	0	0.225690563627113	0	0.00454839287716604
GSM1289179_Treat	0.119171956090538	0.0979265726271294	0.0434799177931192	0.151382098304604	0	0.0230392294417154	0.0511864417885295	0.0370903411455276	0.0284942207114882	0	0.0188821047933526	0	0	0.0587854774661807	0.0318051600132132	0	0.0139167820415044	0.0368210461879085	0	0.270019116258384	0	0.0179995353368055
GSM1289180_Treat	0.0377837782979373	0.0567550150333546	0.0829650812099756	0.088821260519636	0	0.108752532110331	0.0196275399928577	0	0.0486651340156963	0	0.0206880039467729	0	0.0726342683209856	0.130092590059776	0.046816005238874	0	0	0.0306940733473288	0	0.255704717906475	0	0
GSM1289181_Treat	0.0529595408155236	0.0467022679354364	0.10302716952311	0.0768779560321938	0.0612446967178545	0.0242269370109954	0	0	0.0687936010972554	0	0.0179830245156683	0	0.0161012961686355	0.119085044500019	0.037370055204716	0.000914893507458293	0	0.0344724610023418	0	0.337172874578078	0	0.00306818139071481
GSM1426090_Treat	0	0.050004261259504	0.0951584356954731	0.0973087520427618	0	0.0704872627105859	0	0	0.0540190441737842	0.0259393544476169	0	0.00920615153728539	0.00407472320989784	0.0246744482257871	0.172220315359403	0.049774567170203	0	0.0178629541495976	0	0.3292697300181	0	0
GSM1426093_Treat	0.00966095316964246	0	0.188614933036029	0.158446817639756	0	0.114121075758519	0	0	0.0699171148648889	0	0.0152236580478548	0.0118869191974605	0.0583393010629412	0.114209565440921	0.0295226411354361	0.058583476417167	0	0.0140242906605371	0	0.157449253568847	0	0
GSM1426094_Treat	0.0467703977999563	0.00544696053665819	0.0927209773132226	0.060984639366315	0	0.149157222712153	0	0	0	0	0.0379430114025837	0	0.0165169961940147	0.0417430312281833	0.14398195779911	0.00532136057850959	0	0.0162602502382178	0	0.25116145499857	0	0.131991739832507
GSM1426095_Treat	0	0.0841875002567069	0.0819794445899279	0.12731583966589	0	0.147263440988752	0.0445085585204363	0	0	0.0472558185656343	0.07039966595909	0	0	0.13218397995636	0.0145980806030629	0.0302134628763098	0	0.0364774153321676	0	0.145223523910166	0	0.0383932687754958
GSM1426096_Treat	0	0.0185981414326769	0.0908506742757763	0.0399592246775591	0	0.119801324657847	0	0	0.000666901296423702	0	0.0202963361787032	0.00545506070820529	0	0.123999526035766	0.0148601912541943	0	0	0.0723558691530646	0	0.322193498383893	0	0.17096325194589
GSM1426097_Treat	0.164061713779717	0.0734065541859115	0.0364675160783434	0.0295604247066251	0	0.145445871988276	0	0.0080620265334447	0	0	0.0906373692396595	0	0	0.074999642377862	0.0453120568726971	0	0	0.0196998803085317	0	0.246269222083344	0	0.066077721845588
GSM1426098_Treat	0	0.0287300898228348	0.0486317816110647	0.0644954958022725	0	0.181743606779978	0	0	0	0	0.0128358578794544	0	0.00624247926660369	0.0272903734218596	0.0492513438437233	0.0101462308541243	0	0.105992346461721	0	0.298884267879047	0	0.165756126377316
GSM1426099_Treat	0	0.0117068876174093	0.0796884628437516	0.0915549524871963	0	0.161163187471882	0.00256466458178928	0	0	0	0.0315732331421524	0	0.0166867616882076	0.0309645266447202	0.0318163962992415	0.0307957288342772	0	0.0818538365613063	0	0.399726243054786	0	0.0299051187732806
GSM1426100_Treat	0.00623733329467595	0.148413127722423	0.0190375332456959	0.126436396944395	0.105203750124113	0.0205974145364232	0.0432612984941969	0	0.000604800535365597	0.01846253463422	0.0299300760515692	0	0	0.151291152744388	0.0291862390949747	0.084294758622234	0	0.0338579299950198	0	0.160993569325298	0	0.0221920846350076
GSM1426101_Treat	0	0.0316534179047311	0.0988675705042506	0.0277454492745224	0	0.223356082728542	0.0194032427754923	0	0	0	0.0306629210523106	0	0.032411766248064	0.0891799126936157	0.0803369422613338	0	0	0.0475259529473663	0	0.247856489775644	0	0.0710002518341272
GSM1426103_Treat	0.114460135623577	0.0424817029479703	0.0205448303904887	0.00975220595871402	0	0.168829931544742	0	0.0322713470457541	0	0	0.0694174495029939	0	0.0005376580242437	0.165349777513405	0.0109786671928496	0.00365403014633249	0	0.0287402129828868	0	0.314958808642378	0	0.0180232424836648
GSM1426104_Treat	0.0616139602007049	0.0176185286168987	0.0309343255697951	0.0498950333336718	0	0.166440707731253	0	0	0	0	0.0422315140679984	0	0	0.0366577216980229	0.0747630759575823	0	0	0.026787979969159	0	0.374316024154885	0	0.118741128700029
GSM1426105_Treat	0.163650439738018	0.0283787309000579	0.00277933999375553	0	0	0.185208904734325	0	0	0	0.0349358385354122	0.0138336989576665	0	0	0.0825056138648684	0.120862869167207	0.00148197039958884	0	0.0162394185103166	0	0.213348704969416	0	0.136774470229368
GSM1426107_Treat	0.175627548963708	0.00913266974466779	0.0655306580304995	0.0330544417665685	0	0.127431715777588	0	0	0	0	0.0424447833719787	0	0	0.168688921890856	0.0530230077158001	0	0	0.0228920916515107	0	0.2839308329006	0	0.0182433281862226
GSM1426108_Treat	0	0.042601777656176	0.0927609590410049	0.0278401281393638	0	0.253712794532932	0	0	0	0	0	0.0328586374381394	0.00419850075390221	0.002347792677401	0.0567065694844104	0.0112241822583766	0	0.0666089646449653	0	0.30087176169671	0	0.108267931676619
GSM1426109_Treat	0.0728352715653297	0.0246820186866476	0.0883258723816782	0.0381520448431837	0	0.209208423951837	0	0	0.0223097620011843	0	0.0259196207131113	0	0.00500122034869287	0.0383549577866296	0.0840576495644996	0.0203161743265435	0	0.0230575201960909	0	0.338201973716448	0	0.00957748991812433
GSM1426112_Treat	0.0279499114522359	0	0.104890207526867	0.144197728482125	0	0.295961044749931	0.034572090556779	0	0.0125547708866167	0	0	0	0.0208764908475899	0.0671154453296497	0.025107628198117	0.065191389689392	0	0.0155792682948455	0.112450553837608	0.0650685640940792	0	0.00848490605416429
GSM1426113_Treat	0.024892543336372	0.0616949363681503	0.0588203883468712	0.136741925530561	0	0.212362917798623	0.0110624705139027	0	0.0282037726303977	0	0.0355821466627948	0	0.000228700403497679	0.110894800422385	0.0151427383127401	0.0900928600480239	0	0.0598076196960535	0	0.132354573873507	0	0.0221176060561201
GSM1426114_Treat	0.0720896435983958	0.0441157633541878	0.0540976012155519	0.0252078921473165	0	0.196776110767275	0.0079293381456383	0	0	0	0.0560740439092485	0	0.00457591649865259	0.174848654386136	0.0790619937398509	0.0120833510215613	0	0.0301318334778058	0	0.1823198630464	0	0.0606879946919792
